Source,Type_Voltage
consumer_device_10_data_user_1,{'red'}
consumer_device_10_data_user_10,{'red'}
consumer_device_10_data_user_11,{'blue'}
consumer_device_10_data_user_12,{'yellow'}
consumer_device_10_data_user_13,{'red'}
consumer_device_10_data_user_14,{'blue'}
consumer_device_10_data_user_15,{'yellow'}
consumer_device_10_data_user_16,{'red'}
consumer_device_10_data_user_17,{'blue'}
consumer_device_10_data_user_18,{'yellow'}
consumer_device_10_data_user_2,{'blue'}
consumer_device_10_data_user_3,{'yellow'}
consumer_device_10_data_user_4,{'red'}
consumer_device_10_data_user_5,{'blue'}
consumer_device_10_data_user_6,{'yellow'}
consumer_device_10_data_user_7,{'red'}
consumer_device_10_data_user_8,{'blue'}
consumer_device_10_data_user_9,{'yellow'}
consumer_device_12_data_user_1,{'red'}
consumer_device_12_data_user_10,{'blue'}
consumer_device_12_data_user_11,{'blue'}
consumer_device_12_data_user_12,{'yellow'}
consumer_device_12_data_user_13,{'red'}
consumer_device_12_data_user_14,{'blue'}
consumer_device_12_data_user_15,{'yellow'}
consumer_device_12_data_user_2,{'blue'}
consumer_device_12_data_user_3,{'yellow'}
consumer_device_12_data_user_4,{'red'}
consumer_device_12_data_user_5,{'blue'}
consumer_device_12_data_user_6,{'yellow'}
consumer_device_12_data_user_7,{'blue'}
consumer_device_12_data_user_8,{'yellow'}
consumer_device_12_data_user_9,{'red'}
consumer_device_13_data_user_1,{'red'}
consumer_device_13_data_user_10,{'red'}
consumer_device_13_data_user_11,{'blue'}
consumer_device_13_data_user_12,{'yellow'}
consumer_device_13_data_user_13,{'red'}
consumer_device_13_data_user_14,{'blue'}
consumer_device_13_data_user_15,{'yellow'}
consumer_device_13_data_user_16,{'red'}
consumer_device_13_data_user_17,{'blue'}
consumer_device_13_data_user_18,{'yellow'}
consumer_device_13_data_user_2,{'blue'}
consumer_device_13_data_user_3,{'yellow'}
consumer_device_13_data_user_4,{'red'}
consumer_device_13_data_user_5,{'blue'}
consumer_device_13_data_user_6,{'yellow'}
consumer_device_13_data_user_7,{'red'}
consumer_device_13_data_user_8,{'blue'}
consumer_device_13_data_user_9,{'yellow'}
consumer_device_16_data_user_1,{'red'}
consumer_device_16_data_user_10,{'red'}
consumer_device_16_data_user_11,{'blue'}
consumer_device_16_data_user_12,{'yellow'}
consumer_device_16_data_user_13,{'red'}
consumer_device_16_data_user_14,{'blue'}
consumer_device_16_data_user_15,{'yellow'}
consumer_device_16_data_user_16,{'red'}
consumer_device_16_data_user_17,{'blue'}
consumer_device_16_data_user_18,{'yellow'}
consumer_device_16_data_user_2,{'blue'}
consumer_device_16_data_user_3,{'yellow'}
consumer_device_16_data_user_4,{'red'}
consumer_device_16_data_user_5,{'blue'}
consumer_device_16_data_user_6,{'yellow'}
consumer_device_16_data_user_7,{'red'}
consumer_device_16_data_user_8,{'blue'}
consumer_device_16_data_user_9,{'yellow'}
consumer_device_18_data_user_1,{'red'}
consumer_device_18_data_user_10,{'red'}
consumer_device_18_data_user_11,{'blue'}
consumer_device_18_data_user_12,{'yellow'}
consumer_device_18_data_user_13,{'red'}
consumer_device_18_data_user_14,{'blue'}
consumer_device_18_data_user_15,{'yellow'}
consumer_device_18_data_user_16,{'red'}
consumer_device_18_data_user_17,{'blue'}
consumer_device_18_data_user_18,{'yellow'}
consumer_device_18_data_user_2,{'blue'}
consumer_device_18_data_user_3,{'yellow'}
consumer_device_18_data_user_4,{'red'}
consumer_device_18_data_user_5,{'blue'}
consumer_device_18_data_user_6,{'yellow'}
consumer_device_18_data_user_7,{'red'}
consumer_device_18_data_user_8,{'blue'}
consumer_device_18_data_user_9,{'yellow'}
consumer_device_19_data_user_1,{'red'}
consumer_device_19_data_user_10,{'red'}
consumer_device_19_data_user_11,{'blue'}
consumer_device_19_data_user_12,{'red'}
consumer_device_19_data_user_13,{'blue'}
consumer_device_19_data_user_14,{'yellow'}
consumer_device_19_data_user_15,{'red'}
consumer_device_19_data_user_16,{'blue'}
consumer_device_19_data_user_17,{'yellow'}
consumer_device_19_data_user_2,{'blue'}
consumer_device_19_data_user_3,{'yellow'}
consumer_device_19_data_user_4,{'red'}
consumer_device_19_data_user_5,{'blue'}
consumer_device_19_data_user_6,{'yellow'}
consumer_device_19_data_user_7,{'red'}
consumer_device_19_data_user_8,{'blue'}
consumer_device_19_data_user_9,{'yellow'}
consumer_device_1_data_user_1,{'red'}
consumer_device_1_data_user_2,{'blue'}
consumer_device_1_data_user_3,{'yellow'}
consumer_device_1_data_user_4,{'red'}
consumer_device_1_data_user_5,{'blue'}
consumer_device_1_data_user_6,{'yellow'}
consumer_device_1_data_user_7,{'yellow'}
consumer_device_1_data_user_8,{'red'}
consumer_device_1_data_user_9,{'red'}
consumer_device_20_data_user_1,{'red'}
consumer_device_20_data_user_10,{'red'}
consumer_device_20_data_user_11,{'blue'}
consumer_device_20_data_user_12,{'yellow'}
consumer_device_20_data_user_13,{'red'}
consumer_device_20_data_user_14,{'yellow'}
consumer_device_20_data_user_15,{'red'}
consumer_device_20_data_user_16,{'yellow'}
consumer_device_20_data_user_2,{'blue'}
consumer_device_20_data_user_3,{'yellow'}
consumer_device_20_data_user_4,{'red'}
consumer_device_20_data_user_5,{'blue'}
consumer_device_20_data_user_6,{'yellow'}
consumer_device_20_data_user_7,{'red'}
consumer_device_20_data_user_8,{'blue'}
consumer_device_20_data_user_9,{'yellow'}
consumer_device_21_data_user_1,{'red'}
consumer_device_21_data_user_10,{'red'}
consumer_device_21_data_user_11,{'blue'}
consumer_device_21_data_user_12,{'yellow'}
consumer_device_21_data_user_13,{'red'}
consumer_device_21_data_user_14,{'blue'}
consumer_device_21_data_user_15,{'yellow'}
consumer_device_21_data_user_16,{'red'}
consumer_device_21_data_user_17,{'blue'}
consumer_device_21_data_user_18,{'yellow'}
consumer_device_21_data_user_2,{'blue'}
consumer_device_21_data_user_3,{'yellow'}
consumer_device_21_data_user_4,{'red'}
consumer_device_21_data_user_5,{'blue'}
consumer_device_21_data_user_6,{'yellow'}
consumer_device_21_data_user_7,{'red'}
consumer_device_21_data_user_8,{'blue'}
consumer_device_21_data_user_9,{'yellow'}
consumer_device_22_data_user_1,{'red'}
consumer_device_22_data_user_10,{'red'}
consumer_device_22_data_user_11,{'blue'}
consumer_device_22_data_user_12,{'red'}
consumer_device_22_data_user_13,{'yellow'}
consumer_device_22_data_user_14,{'red'}
consumer_device_22_data_user_15,{'yellow'}
consumer_device_22_data_user_2,{'blue'}
consumer_device_22_data_user_3,{'yellow'}
consumer_device_22_data_user_4,{'red'}
consumer_device_22_data_user_5,{'blue'}
consumer_device_22_data_user_6,{'yellow'}
consumer_device_22_data_user_7,{'red'}
consumer_device_22_data_user_8,{'blue'}
consumer_device_22_data_user_9,{'yellow'}
consumer_device_23_data_user_1,{'red'}
consumer_device_23_data_user_2,{'yellow'}
consumer_device_23_data_user_3,{'red'}
consumer_device_23_data_user_4,{'blue'}
consumer_device_23_data_user_5,{'blue'}
consumer_device_26_data_user_1,{'red'}
consumer_device_26_data_user_10,{'red'}
consumer_device_26_data_user_11,{'blue'}
consumer_device_26_data_user_12,{'red'}
consumer_device_26_data_user_13,{'blue'}
consumer_device_26_data_user_14,{'yellow'}
consumer_device_26_data_user_15,{'red'}
consumer_device_26_data_user_16,{'yellow'}
consumer_device_26_data_user_2,{'blue'}
consumer_device_26_data_user_3,{'yellow'}
consumer_device_26_data_user_4,{'red'}
consumer_device_26_data_user_5,{'blue'}
consumer_device_26_data_user_6,{'yellow'}
consumer_device_26_data_user_7,{'red'}
consumer_device_26_data_user_8,{'blue'}
consumer_device_26_data_user_9,{'yellow'}
consumer_device_28_data_user_1,{'red'}
consumer_device_28_data_user_10,{'red'}
consumer_device_28_data_user_11,{'blue'}
consumer_device_28_data_user_12,{'yellow'}
consumer_device_28_data_user_13,{'red'}
consumer_device_28_data_user_14,{'blue'}
consumer_device_28_data_user_15,{'yellow'}
consumer_device_28_data_user_16,{'red'}
consumer_device_28_data_user_17,{'blue'}
consumer_device_28_data_user_18,{'yellow'}
consumer_device_28_data_user_2,{'blue'}
consumer_device_28_data_user_3,{'yellow'}
consumer_device_28_data_user_4,{'red'}
consumer_device_28_data_user_5,{'blue'}
consumer_device_28_data_user_6,{'yellow'}
consumer_device_28_data_user_7,{'red'}
consumer_device_28_data_user_8,{'blue'}
consumer_device_28_data_user_9,{'yellow'}
consumer_device_29_data_user_1,{'red'}
consumer_device_29_data_user_2,{'blue'}
consumer_device_29_data_user_3,{'yellow'}
consumer_device_29_data_user_4,{'red'}
consumer_device_29_data_user_5,{'yellow'}
consumer_device_29_data_user_6,{'red'}
consumer_device_29_data_user_7,{'blue'}
consumer_device_29_data_user_8,{'yellow'}
consumer_device_2_data_user_1,{'red'}
consumer_device_2_data_user_10,{'red'}
consumer_device_2_data_user_11,{'blue'}
consumer_device_2_data_user_12,{'yellow'}
consumer_device_2_data_user_13,{'red'}
consumer_device_2_data_user_14,{'yellow'}
consumer_device_2_data_user_15,{'red'}
consumer_device_2_data_user_16,{'blue'}
consumer_device_2_data_user_17,{'yellow'}
consumer_device_2_data_user_2,{'blue'}
consumer_device_2_data_user_3,{'yellow'}
consumer_device_2_data_user_4,{'red'}
consumer_device_2_data_user_5,{'blue'}
consumer_device_2_data_user_6,{'yellow'}
consumer_device_2_data_user_7,{'red'}
consumer_device_2_data_user_8,{'blue'}
consumer_device_2_data_user_9,{'yellow'}
consumer_device_30_data_user_1,{'red'}
consumer_device_30_data_user_10,{'red'}
consumer_device_30_data_user_11,{'blue'}
consumer_device_30_data_user_12,{'yellow'}
consumer_device_30_data_user_13,{'red'}
consumer_device_30_data_user_14,{'yellow'}
consumer_device_30_data_user_15,{'red'}
consumer_device_30_data_user_16,{'yellow'}
consumer_device_30_data_user_2,{'blue'}
consumer_device_30_data_user_3,{'yellow'}
consumer_device_30_data_user_4,{'red'}
consumer_device_30_data_user_5,{'blue'}
consumer_device_30_data_user_6,{'yellow'}
consumer_device_30_data_user_7,{'red'}
consumer_device_30_data_user_8,{'blue'}
consumer_device_30_data_user_9,{'yellow'}
consumer_device_31_data_user_1,{'red'}
consumer_device_31_data_user_10,{'blue'}
consumer_device_31_data_user_11,{'yellow'}
consumer_device_31_data_user_2,{'blue'}
consumer_device_31_data_user_3,{'yellow'}
consumer_device_31_data_user_4,{'red'}
consumer_device_31_data_user_5,{'yellow'}
consumer_device_31_data_user_6,{'blue'}
consumer_device_31_data_user_7,{'red'}
consumer_device_31_data_user_8,{'yellow'}
consumer_device_31_data_user_9,{'red'}
consumer_device_32_data_user_1,{'red'}
consumer_device_32_data_user_10,{'red'}
consumer_device_32_data_user_11,{'blue'}
consumer_device_32_data_user_12,{'yellow'}
consumer_device_32_data_user_13,{'red'}
consumer_device_32_data_user_14,{'blue'}
consumer_device_32_data_user_15,{'yellow'}
consumer_device_32_data_user_16,{'red'}
consumer_device_32_data_user_17,{'blue'}
consumer_device_32_data_user_18,{'yellow'}
consumer_device_32_data_user_19,{'red'}
consumer_device_32_data_user_2,{'blue'}
consumer_device_32_data_user_20,{'blue'}
consumer_device_32_data_user_21,{'yellow'}
consumer_device_32_data_user_3,{'yellow'}
consumer_device_32_data_user_4,{'red'}
consumer_device_32_data_user_5,{'blue'}
consumer_device_32_data_user_6,{'yellow'}
consumer_device_32_data_user_7,{'red'}
consumer_device_32_data_user_8,{'blue'}
consumer_device_32_data_user_9,{'yellow'}
consumer_device_34_data_user_1,{'red'}
consumer_device_34_data_user_10,{'red'}
consumer_device_34_data_user_11,{'blue'}
consumer_device_34_data_user_12,{'yellow'}
consumer_device_34_data_user_13,{'red'}
consumer_device_34_data_user_14,{'blue'}
consumer_device_34_data_user_15,{'yellow'}
consumer_device_34_data_user_16,{'red'}
consumer_device_34_data_user_17,{'yellow'}
consumer_device_34_data_user_2,{'blue'}
consumer_device_34_data_user_3,{'yellow'}
consumer_device_34_data_user_4,{'red'}
consumer_device_34_data_user_5,{'blue'}
consumer_device_34_data_user_6,{'yellow'}
consumer_device_34_data_user_7,{'red'}
consumer_device_34_data_user_8,{'blue'}
consumer_device_34_data_user_9,{'yellow'}
consumer_device_35_data_user_1,{'red'}
consumer_device_35_data_user_10,{'red'}
consumer_device_35_data_user_11,{'blue'}
consumer_device_35_data_user_12,{'yellow'}
consumer_device_35_data_user_13,{'red'}
consumer_device_35_data_user_14,{'blue'}
consumer_device_35_data_user_15,{'yellow'}
consumer_device_35_data_user_2,{'blue'}
consumer_device_35_data_user_3,{'yellow'}
consumer_device_35_data_user_4,{'red'}
consumer_device_35_data_user_5,{'yellow'}
consumer_device_35_data_user_6,{'red'}
consumer_device_35_data_user_7,{'blue'}
consumer_device_35_data_user_8,{'yellow'}
consumer_device_35_data_user_9,{'red'}
consumer_device_36_data_user_1,{'red'}
consumer_device_36_data_user_10,{'red'}
consumer_device_36_data_user_11,{'blue'}
consumer_device_36_data_user_12,{'blue'}
consumer_device_36_data_user_13,{'yellow'}
consumer_device_36_data_user_14,{'red'}
consumer_device_36_data_user_15,{'blue'}
consumer_device_36_data_user_16,{'yellow'}
consumer_device_36_data_user_2,{'blue'}
consumer_device_36_data_user_3,{'yellow'}
consumer_device_36_data_user_4,{'red'}
consumer_device_36_data_user_5,{'blue'}
consumer_device_36_data_user_6,{'yellow'}
consumer_device_36_data_user_7,{'red'}
consumer_device_36_data_user_8,{'blue'}
consumer_device_36_data_user_9,{'yellow'}
consumer_device_37_data_user_1,{'red'}
consumer_device_37_data_user_10,{'red'}
consumer_device_37_data_user_11,{'blue'}
consumer_device_37_data_user_12,{'red'}
consumer_device_37_data_user_13,{'yellow'}
consumer_device_37_data_user_14,{'red'}
consumer_device_37_data_user_15,{'yellow'}
consumer_device_37_data_user_2,{'blue'}
consumer_device_37_data_user_3,{'yellow'}
consumer_device_37_data_user_4,{'red'}
consumer_device_37_data_user_5,{'blue'}
consumer_device_37_data_user_6,{'yellow'}
consumer_device_37_data_user_7,{'red'}
consumer_device_37_data_user_8,{'blue'}
consumer_device_37_data_user_9,{'yellow'}
consumer_device_38_data_user_1,{'red'}
consumer_device_38_data_user_10,{'red'}
consumer_device_38_data_user_11,{'blue'}
consumer_device_38_data_user_12,{'red'}
consumer_device_38_data_user_13,{'blue'}
consumer_device_38_data_user_14,{'yellow'}
consumer_device_38_data_user_15,{'red'}
consumer_device_38_data_user_16,{'yellow'}
consumer_device_38_data_user_2,{'blue'}
consumer_device_38_data_user_3,{'yellow'}
consumer_device_38_data_user_4,{'red'}
consumer_device_38_data_user_5,{'blue'}
consumer_device_38_data_user_6,{'yellow'}
consumer_device_38_data_user_7,{'red'}
consumer_device_38_data_user_8,{'blue'}
consumer_device_38_data_user_9,{'yellow'}
consumer_device_39_data_user_1,{'red'}
consumer_device_39_data_user_10,{'red'}
consumer_device_39_data_user_11,{'blue'}
consumer_device_39_data_user_12,{'blue'}
consumer_device_39_data_user_13,{'yellow'}
consumer_device_39_data_user_14,{'red'}
consumer_device_39_data_user_15,{'yellow'}
consumer_device_39_data_user_2,{'blue'}
consumer_device_39_data_user_3,{'yellow'}
consumer_device_39_data_user_4,{'red'}
consumer_device_39_data_user_5,{'blue'}
consumer_device_39_data_user_6,{'yellow'}
consumer_device_39_data_user_7,{'red'}
consumer_device_39_data_user_8,{'blue'}
consumer_device_39_data_user_9,{'yellow'}
consumer_device_6_data_user_1,{'red'}
consumer_device_6_data_user_10,{'blue'}
consumer_device_6_data_user_11,{'yellow'}
consumer_device_6_data_user_12,{'red'}
consumer_device_6_data_user_13,{'blue'}
consumer_device_6_data_user_14,{'yellow'}
consumer_device_6_data_user_15,{'red'}
consumer_device_6_data_user_16,{'blue'}
consumer_device_6_data_user_17,{'yellow'}
consumer_device_6_data_user_2,{'blue'}
consumer_device_6_data_user_3,{'yellow'}
consumer_device_6_data_user_4,{'red'}
consumer_device_6_data_user_5,{'blue'}
consumer_device_6_data_user_6,{'yellow'}
consumer_device_6_data_user_7,{'blue'}
consumer_device_6_data_user_8,{'yellow'}
consumer_device_6_data_user_9,{'red'}
consumer_device_7_data_user_1,{'red'}
consumer_device_7_data_user_10,{'red'}
consumer_device_7_data_user_11,{'blue'}
consumer_device_7_data_user_12,{'yellow'}
consumer_device_7_data_user_13,{'red'}
consumer_device_7_data_user_14,{'blue'}
consumer_device_7_data_user_15,{'yellow'}
consumer_device_7_data_user_16,{'red'}
consumer_device_7_data_user_17,{'blue'}
consumer_device_7_data_user_18,{'yellow'}
consumer_device_7_data_user_2,{'blue'}
consumer_device_7_data_user_3,{'yellow'}
consumer_device_7_data_user_4,{'red'}
consumer_device_7_data_user_5,{'blue'}
consumer_device_7_data_user_6,{'yellow'}
consumer_device_7_data_user_7,{'red'}
consumer_device_7_data_user_8,{'blue'}
consumer_device_7_data_user_9,{'yellow'}
consumer_device_8_data_user_1,{'red'}
consumer_device_8_data_user_10,{'red'}
consumer_device_8_data_user_11,{'blue'}
consumer_device_8_data_user_12,{'yellow'}
consumer_device_8_data_user_13,{'red'}
consumer_device_8_data_user_14,{'blue'}
consumer_device_8_data_user_15,{'yellow'}
consumer_device_8_data_user_16,{'red'}
consumer_device_8_data_user_17,{'blue'}
consumer_device_8_data_user_18,{'yellow'}
consumer_device_8_data_user_2,{'blue'}
consumer_device_8_data_user_3,{'yellow'}
consumer_device_8_data_user_4,{'red'}
consumer_device_8_data_user_5,{'blue'}
consumer_device_8_data_user_6,{'yellow'}
consumer_device_8_data_user_7,{'red'}
consumer_device_8_data_user_8,{'blue'}
consumer_device_8_data_user_9,{'yellow'}
